index,County,(To sort by county and year),(To sort by year and county),Year,State and County FIPS Code,Alzheimer's Disease/Dementia Prevalence (%),Arthritis Prevalence (%),Asthma Prevalence (%),Atrial Fibrillation Prevalence (%),Autism Spectrum Disorders Prevalence (%),COPD Prevalence (%),Cancer Prevalence (%),Chronic Kidney Disease Prevalence (%),Depression  Prevalence (%),Diabetes Prevalence (%),HIV/AIDS Prevalence (%),Heart Failure Prevalence (%),Hepatitis (Chronic Viral B & C) Prevalence (%),Hyperlipidemia Prevalence (%),Hypertension Prevalence (%),Ischemic Heart Disease Prevalence (%),Osteoporosis Prevalence (%),Schizophrenia/Other Psychotic Disorders Prevalence (%),Stroke Prevalence (%)
0,STATE TOTAL,0.2007,2007,2007,.,9.1,20.3,3.5,7.7,0.1,8.5,7.1,10.0,11.6,20.9,0.3,13.6,0.8,32.5,42.1,21.7,4.9,2.9,3.2
1,ADAMS,530012007.0,200753001,2007,53001,8.8,21.4,3.2,7.3,0.0,9.1,6.7,10.1,11.4,25.8,,14.8,,37.6,47.8,26.8,4.2,1.4,2.6
2,ASOTIN,530032007.0,200753003,2007,53003,11.0,25.0,3.8,8.0,0.0,10.6,8.8,9.9,10.3,23.3,,16.2,0.4,37.6,43.9,27.6,5.6,2.4,3.3
3,BENTON,530052007.0,200753005,2007,53005,10.5,22.7,4.2,6.9,,10.1,7.9,9.5,11.4,24.9,0.1,13.2,0.6,41.9,46.8,26.9,5.7,2.4,4.4
4,CHELAN,530072007.0,200753007,2007,53007,8.6,19.9,3.0,8.4,,7.7,7.2,8.9,12.3,19.3,,10.9,0.6,32.3,40.4,19.0,3.9,1.9,3.1
5,CLALLAM,530092007.0,200753009,2007,53009,7.5,24.3,3.5,8.0,,8.2,6.9,6.4,9.3,19.1,0.1,12.5,0.7,32.1,40.2,21.4,5.4,2.3,3.0
6,CLARK,530112007.0,200753011,2007,53011,9.1,16.4,3.8,7.3,0.1,8.5,6.2,10.4,12.7,20.9,0.2,13.5,0.7,27.9,39.1,19.6,3.6,3.4,3.3
7,COLUMBIA,530132007.0,200753013,2007,53013,8.5,19.9,4.0,5.9,0.0,12.1,7.9,9.2,12.2,23.3,,16.7,0.0,32.5,43.0,27.8,3.7,3.8,2.7
8,COWLITZ,530152007.0,200753015,2007,53015,8.8,20.6,4.7,8.5,,12.5,6.3,11.7,13.9,22.7,0.3,16.7,0.6,31.9,43.3,22.5,4.6,4.0,3.1
9,DOUGLAS,530172007.0,200753017,2007,53017,10.1,23.5,2.7,8.9,0.0,9.4,8.4,10.0,14.4,20.8,,13.2,0.4,36.6,44.1,21.0,4.8,2.3,3.5
10,FERRY,530192007.0,200753019,2007,53019,4.9,14.8,2.6,4.9,0.0,12.1,5.2,6.4,6.8,17.4,,12.4,,20.5,28.2,21.9,3.4,2.1,2.3
11,FRANKLIN,530212007.0,200753021,2007,53021,9.2,20.4,4.3,6.7,,10.5,7.1,10.4,11.0,27.1,,12.5,0.7,42.4,44.1,26.7,4.6,2.4,4.5
12,GARFIELD,530232007.0,200753023,2007,53023,15.4,28.1,4.1,8.8,0.0,9.6,10.7,13.1,10.5,24.6,,17.6,,49.5,50.3,31.3,4.7,2.4,3.8
13,GRANT,530252007.0,200753025,2007,53025,9.2,24.7,3.0,7.4,,10.0,6.9,9.8,11.6,26.1,0.2,14.5,0.4,33.1,43.1,22.7,3.8,2.3,3.0
14,GRAYS HARBOR,530272007.0,200753027,2007,53027,7.9,20.0,4.0,8.2,0.1,11.4,6.3,10.2,12.0,24.0,0.1,16.8,0.7,37.7,48.3,26.1,4.0,2.6,3.6
15,ISLAND,530292007.0,200753029,2007,53029,7.6,21.4,2.9,8.1,,7.3,7.9,8.1,10.6,18.8,0.2,12.3,0.4,35.5,42.4,20.6,4.3,1.9,2.8
16,JEFFERSON,530312007.0,200753031,2007,53031,6.9,16.9,2.6,8.7,,6.0,7.2,7.2,9.1,15.9,0.2,12.7,0.5,32.6,41.1,18.3,3.4,1.3,3.1
17,KING,530332007.0,200753033,2007,53033,10.0,18.9,3.3,7.4,0.1,6.7,7.1,10.6,11.4,19.1,0.6,12.2,1.0,30.3,40.5,20.9,5.0,3.5,3.1
18,KITSAP,530352007.0,200753035,2007,53035,9.5,19.2,4.1,8.5,0.1,8.3,7.2,10.1,11.6,21.1,0.2,15.9,0.5,33.9,46.1,20.1,4.4,2.6,3.2
19,KITTITAS,530372007.0,200753037,2007,53037,7.3,20.0,2.2,7.5,,7.1,6.9,7.2,8.6,18.4,,11.2,0.5,34.4,36.9,20.2,3.8,2.4,2.5
20,KLICKITAT,530392007.0,200753039,2007,53039,7.0,15.7,2.9,6.7,,7.5,6.6,6.7,8.3,20.4,,14.7,0.5,28.9,32.9,17.9,3.2,2.0,2.8
21,LEWIS,530412007.0,200753041,2007,53041,8.3,18.8,2.5,7.3,,9.5,6.8,8.9,10.8,21.2,0.2,16.1,0.6,30.6,39.0,20.8,4.7,1.8,3.1
22,LINCOLN,530432007.0,200753043,2007,53043,9.4,26.2,3.5,9.0,0.0,11.3,7.4,11.7,10.6,23.3,,14.1,,33.8,43.6,26.4,6.5,1.5,3.9
23,MASON,530452007.0,200753045,2007,53045,6.6,20.7,2.9,8.2,,8.0,7.2,7.9,9.2,20.2,0.2,13.9,0.7,32.5,40.4,22.6,3.2,1.6,3.1
24,OKANOGAN,530472007.0,200753047,2007,53047,7.8,20.3,2.6,7.4,,9.0,6.5,8.5,11.0,20.6,0.3,13.2,0.6,32.2,37.6,21.7,3.6,1.8,2.7
25,PACIFIC,530492007.0,200753049,2007,53049,7.4,21.4,2.7,9.1,,10.8,7.1,8.7,10.1,23.4,,15.4,0.8,34.9,47.6,24.6,4.2,2.0,3.3
26,PEND OREILLE,530512007.0,200753051,2007,53051,6.2,19.4,2.2,6.3,0.0,9.7,6.1,8.8,10.7,22.2,,13.0,0.8,27.7,34.7,22.6,4.7,2.0,2.9
27,PIERCE,530532007.0,200753053,2007,53053,8.7,21.7,3.9,7.1,0.1,10.1,6.7,11.0,12.2,22.0,0.2,14.8,0.8,34.0,45.5,21.2,5.6,3.3,3.4
28,SAN JUAN,530552007.0,200753055,2007,53055,7.8,18.0,3.5,9.0,,5.1,8.0,5.8,10.6,12.5,,9.7,0.9,32.2,36.7,17.9,3.8,1.2,2.2
29,SKAGIT,530572007.0,200753057,2007,53057,8.6,19.3,3.1,9.1,0.1,7.6,7.5,8.5,12.8,19.8,0.1,12.2,0.7,33.2,44.2,20.4,4.3,2.7,2.8
30,SKAMANIA,530592007.0,200753059,2007,53059,7.2,12.0,1.5,6.9,,6.5,6.5,7.6,9.0,19.5,0.0,14.2,,22.3,37.0,16.5,1.8,1.5,2.4
31,SNOHOMISH,530612007.0,200753061,2007,53061,9.1,19.8,3.4,7.9,0.1,7.7,6.9,10.9,12.1,21.4,0.2,12.6,0.9,30.4,40.4,20.6,4.4,2.8,3.1
32,SPOKANE,530632007.0,200753063,2007,53063,9.9,22.1,3.4,7.8,0.1,9.7,7.1,10.8,12.4,20.6,0.2,13.1,0.7,34.2,42.4,21.8,6.4,3.3,3.4
33,STEVENS,530652007.0,200753065,2007,53065,6.7,21.9,3.0,6.9,0.0,11.3,6.5,7.5,8.3,20.6,,13.2,0.5,25.3,33.6,23.4,5.0,2.0,3.3
34,THURSTON,530672007.0,200753067,2007,53067,9.2,20.8,3.7,6.7,0.1,8.2,6.2,9.1,11.8,19.7,0.2,13.9,0.7,27.9,37.2,20.8,4.5,3.1,2.8
